parameter_name,parameter_description,value_used,likely_range,citation
wind_h2.csv,Input hourly generation profile CSV path,wind/ninja_wind_56.4559_-1.3674_corrected.csv,Model/config input (project-specific),https://www.renewables.ninja/documentation
wind_h2.demand_mw,Flat electricity demand target,8200.0,"6,000 to 12,000 MW (scenario-dependent)",Assumption in this case study (no external source)
wind_h2.electricity_to_hydrogen_efficiency,Electrolyzer conversion efficiency (electricity to H2),0.7,0.60 to 0.80,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction
wind_h2.hydrogen_to_electricity_efficiency,Power-block conversion efficiency (H2 to electricity),0.64,0.45 to 0.65,https://www.gov.uk/government/publications/hydrogen-to-power-cost-and-technical-assumptions
wind_h2.wind_stress_factor,Scaling factor applied to wind profile output,1,0.70 to 1.10,Assumption in this case study (no external source)
wind_h2.simulation_installed_capacity_mw,Installed capacity represented by profile scaling basis,32704.87,> 0 MW (project-specific),Assumption in this case study (no external source)
wind_h2.uk_salt_cavern_working_capacity_tonnes_h2,Assumed working hydrogen per UK salt cavern,5500.0,"3,000 to 6,000 tonnes H2/cavern",https://assets.publishing.service.gov.uk/media/68aebcef3a052c9c504c8e60/The_geomechanics_of_hydrogen_storage_in_salt_caverns_-_environmental_considerations_-_report.pdf
wind_h2.current_installed_capacity_mw,Current installed capacity assumption,16400.0,> 0 MW (project-specific),Assumption in this case study (no external source)
wind_h2.turbine_rating_mw,Single turbine nameplate rating,9.5,8 to 15 MW,https://www.vestas.com/en/media/mwow-press-releases/2018/Final-Certification-V164-9-5-MW-Offshore-Turbine
wind_h2.capex_wind_per_mw,Wind CAPEX intensity per MW,2500000.0,1.5m to 4.0m GBP/MW,https://www.arup.com/perspectives/publications/research/section/understanding-the-cost-of-uk-energy
wind_h2.capex_electrolyzer_per_mw,Electrolyzer CAPEX intensity per MW,1500000.0,0.6m to 2.6m GBP/MW,https://www.iea.org/reports/global-hydrogen-review-2025/executive-summary
wind_h2.capex_h2_turbine_per_mw,Hydrogen turbine CAPEX intensity per MW,1050000.0,0.7m to 1.8m GBP/MW,https://www.gov.uk/government/publications/hydrogen-to-power-cost-and-technical-assumptions
wind_h2.capex_storage_per_mwh_h2,Hydrogen storage CAPEX intensity per MWh-H2,3000.0,"1,000 to 10,000 GBP/MWh-H2",https://assets.publishing.service.gov.uk/media/68aebcef3a052c9c504c8e60/The_geomechanics_of_hydrogen_storage_in_salt_caverns_-_environmental_considerations_-_report.pdf
